id	name	515$A	515$0	515$a	515$z	350$0	350$a	340$x
cnp01326044	Vrhovac ### Maksimilijan ### 	Karlovac ### Karlovac ### Zagreb ### Zagreb ### Karlovac ### Zagreb ### Karlovac ### Zagreb ### 	brth ### brth ### deat ### deat ### brth ### deat ### brth ### deat ### 	cnl00005359 ### 		irsp ### acti ### acti ### 	Auteur ### Personen zu Kirchengeschichte, Systematischer und Praktischer Theologie, Kirche und Konfession (3.6p) ### Bischof ### 	340 01$8ger$aKarlovac, 1752-Zagreb, 1827$xa1752a1827 ### 
cnp02269198	Hornstein ### Edouard ### 	Solothurn ### 	actv ### 	cnl00026984 ### 				340 01$8ger$a1826-1887$xa1826a1887 ### 
cnp01277974	Beuch ### Karl Gottfried ### 	Lauban ### Dresden ### 	brth ### deat ### 	cnl00010983 ### cnl00006089 ### 		acti ### 	Jurist ### 	340 01$8ger$a28.04.1713-22.03.1780$xa1713a1780 ### 
cnp01060316	Aspern ### Nicolaus Daniel ### tho ### 	Osten ### Estebrügge ### Helmstedt ### 	actv ### brth ### stud ### 		1736-1747 ### 	acti ### acti ### acti ### 	Theologe ### Evangelischer Theologe ### Pfarrer ### 	340 01$8ger$a1704-1747$xa1704a1747 ### 
cnp01310300	Mathieu ### Albert ### 	Lunéville (Meurthe-et-Moselle) ### Nancy ### 	brth ### deat ### 	cnl00011391 ### cnl00012051 ### 	1823 ### 1901 ### 	lang ### irsp ### 	French ### Auteur ### 	340 01$8eng$a27.07.1823-12.03.1901 ### 340 01$8fre$a1823-1901$xa1823a1901 ### 
cnp01100667	Stör ### Stephan ### 	Fischbach ### Altdorf b. Nürnberg ### 	brth ### deat ### 	cnl00032159 ### 		acti ### 	Lehrer ### 	340 01$8ger$a1639-1694$xa1639a1694 ### 340 11$8ger$aca. vor 1670$xa1670u     ### 
cnp01442445	Huber ### Michael ### 	Frontenhausen ### Leipzig ### Frontenhausen ### Leipzig ### 	brth ### deat ### brth ### deat ### 			acti ### acti ### acti ### acti ### acti ### acti ### acti ### acti ### acti ### acti ### 	Personen zu Literaturwissenschaft (Literaturwissenschaftler) (12.1p) ### Personen zu Literaturgeschichte (Schriftsteller) (12.2p) ### Personen zu Kunstwissenschaft, Kunsthistoriker (13.1bp) ### Kunsthistoriker ### Literarhistoriker ### Philologe ### Schriftsteller ### Übersetzer ### Trad. ### Vater von Ludwig Ferdinand Huber; Schriftsteller; Literarhistoriker ### 	340 01$8und$a1727-1804$xa1727a1804 ### 340 01$8pol$a1727-1804$xa1727a1804 ### 340 01$8ger$a27.09.1727-15.04.1804$xa1727a1804 ### 
cnp02105943	Müller ### Hieronymus Peter ### 	Kiel ### Hamburg ### 	actv ### brth ### 	cnl00010570 ### cnl00027108 ### 		acti ### 	Jurist ### 	340 01$8ger$a-1730 ### 
cnp01142690	Cioccari ### Angelica ### 	Mailand ### Lugano ### 	brth ### deat ### 	cnl00006209 ### cnl00011382 ### 		acti ### acti ### 	Personen zu Bildungswesen (6.4p) ### Pädagogin ### 	340 01$8ger$a09.02.1827-14.03.1912$xa1827a1912 ### 
cnp01943731	Hoysen ### Friedrich Adolf ### 	Balje ### Helmstedt ### Hannover ### 	brth ### actv ### actv ### 	cnl00030972 ### cnl00009997 ### cnl00027245 ### 		acti ### 	Geistlicher, ev. ### 	340 01$8ger$a19.07.1658-$xa1658u     ### 
cnp01277917	Kove ### Rudolph August ### 	Klötze ### Helmstedt ### 	brth ### actv ### 			acti ### 	Respondent ### 	340 11$8ger$a1726-1727$xa1726a1727 ### 
cnp02329770	Benigno da San Giovanni Valdarno ### 	San Giovanni Valdarno ### 	brth ### 	cnl00039488 ### 		acti ### 	Mönch ### 	340 01$8ger$a1692-1771$xa1692a1771 ### 
cnp01312816	Lastic ### Pierre-Joseph de ### 	Saint-Benoît de Bages (Espagne) ### Saint-Martin(sous-Vigouroux (Cantal) ### 	deat ### brth ### 	cnl00018956 ### cnl00018955 ### 	1812 ### 1726 ### 	lang ### irsp ### 	French ### Auteur ### 	340 01$8eng$a1726-05.09.1812 ### 340 01$8fre$a1726-1812$xa1726a1812 ### 
cnp02307832	Pensa ### Franz ### 	Frankfurt am Main ### Mailand ### 	actv ### actv ### 	cnl00033301 ### cnl00006209 ### 		acti ### 	Personen zu Gewerbe allgemein, Industrie, Handwerk (10.12p) ### 	340 01$8ger$a-1790$xu    a1790 ### 
cnp02219333	Lommori ### Pompeo ### 	Lucca ### 	actv ### 	cnl00009102 ### 				340 11$8ger$a1634$xa1634u     ### 
cnp01088865	Berges ### Heinrich ### 	Berlin ### 	actv ### 	cnl00032895 ### 		acti ### 	Bildhauer ### 	340 01$8ger$a1805-1852$xa1805a1852 ### 
cnp02085274	Blättler ### Joseph Nicolaus ### 	Rotzloch ### 	actv ### 			acti ### acti ### 	Personen zu Technik (ohne Architektur, Bautechnik) (31.16p) ### Papiermacher ### 	340 01$8ger$a1817-1901$xa1817a1901 ### 
cnp02107501	Bäuerle ### Johann Benedikt ### 	Adelmannsfelden ### 	actv ### 	cnl00006635 ### 		acti ### acti ### 	Personen zu Technik (ohne Architektur, Bautechnik) (31.16p) ### Papiermacher ### 	340 01$8ger$a1735-1802$xa1735a1802 ### 
cnp01371622	Del Rosso ### Paolo ### 	Florence, Italie ### Florence, Italie ### 	brth ### deat ### 	cnl00017011 ### cnl00017011 ### 	1505 ### 1569 ### 	lang ### irsp ### acti ### acti ### acti ### acti ### acti ### 	Italian ### Auteur ### Lyriker ### Sprachforscher ### Personen zu Sprache (11.2p) ### Personen zu Literaturgeschichte (Schriftsteller) (12.2p) ### Lyriker ### 	340 01$8eng$a07.1505-13.01.1569 ### 340 01$8fre$a1505-1569$xa1505a1569 ### 340 01$8ger$a-1569 ### 340 01$8und$a1505-1569$xa1505a1569 ### 
cnp01305850	Bradley ### Edward ### 	Kidderminster, GB ### Lenton, GB ### Kidderminster ### 	brth ### deat ### brth ### 	cnl00000746 ### cnl00017405 ### cnl00000746 ### 	1827 ### 1889 ### 	lang ### irsp ### acti ### acti ### acti ### 	English ### Auteur ### Personen zu Literaturgeschichte (Schriftsteller) (12.2p) ### Personen zu Kirchengeschichte, Systematischer und Praktischer Theologie, Kirche und Konfession (3.6p) ### Theologe ### 	340 01$8eng$a25.03.1827-12.12.1889 ### 340 01$8fre$a1827-1889$xa1827a1889 ### 340 01$8ger$a25.03.1827-12.12.1889$xa1827a1889 ### 
cnp02235117	Toussain ### Pierre ### 	Saint-Laurent-sur-Othain (Meuse) ### Montbéliard (Doubs) ### 	brth ### deat ### 		1499 ### 1573 ### 	lang ### 	French ### 	340 01$8fre$a1499-05.10.1573$xa1499a1573 ### 
cnp02003515	Küssow ### E. E. ### von ### 	Greifswald ### Stettin ### 	actv ### actv ### 	cnl00030822 ### cnl00006029 ### 	1706 ### 1701 ### 			340 11$8ger$a1701-1706$xa1701a1706 ### 
cnp01084071	Wächter ### Johann Michael ### 	Rappersdorf ### Dresden ### Dresden ### Berlin ### Graz ### Wien ### Preßburg ### 	brth ### actv ### deat ### actv ### actv ### actv ### actv ### 			acti ### acti ### acti ### acti ### 	Sänger ### Bariton ### Bassbariton ### Personen zu Musik (14.4p) ### 	340 01$8ger$a02.03.1794-26.05.1853$xa1794a1853 ### 
cnp02296072	Fladius ### Johannes Sigismundus ### 	Halle ### 	actv ### 	cnl00029460 ### 		irsp ### 	Medizin ### 	340 11$8ger$a1725$xa1725u     ### 
cnp01983036	Brunn ### Johann Wilhelm ### 	Aschersleben-Schackstedt ### 	brth ### 			acti ### 	Leibarzt ### 	340 01$8ger$a06.05.1779-$xa1779u     ### 
cnp01081849	Martin de Noirlieu ### François ### 	Noirlieu (Marne) ### Paris (France) ### 	brth ### deat ### 		1792 ### 1870 ### 	lang ### irsp ### acti ### 	French ### Auteur ### Pfarrer ### 	340 01$8und$a1792-1870$xa1792a1870 ### 340 01$8ger$a1792-1870$xa1792a1870 ### 340 01$8fre$a05.07.1792-21.06.1870$xa1792a1870 ### 
cnp02064283	Söffing ### Johann Wilhelm ### 	Blankenhain ### 	actv ### 					340 11$8ger$a1732$xa1732u     ### 
cnp01143654	Brockes ### Otto ### 	Lübeck ### Lübeck ### Lübeck ### 	actv ### brth ### deat ### 	cnl00010970 ### cnl00010970 ### cnl00010970 ### 		acti ### acti ### 	Bürgermeister ### Patriziat ### 	340 01$8ger$a13.04.1574-24.08.1652$xa1574a1652 ### 
cnp02278969	Bechmann ### Jodok ### 	Schmalkalden ### 	actv ### 	cnl00013620 ### 	1517 ### 			340 01$8ger$agest. 1551$xu    a1551 ### 340 11$8ger$a1512 - 1551 ### 
cnp01377841	Tutot ### Jean Jacques ### 	Bruxelles ### Liège ### Maastricht ### 	actv ### actv ### actv ### 		1773-1794 ### 1765-1794 ### 1765 ### 	prof ### irsp ### acti ### 	Imprimeur-libraire ### Auteur ### Type de document concerné: Texte imprimé ### 	340 01$8fre$a22.02.1741-20.09.1794$xa1741a1794 ### 340 11$8fre$a1765-1794$xa1765a1794 ### 
cnp00988811	Rachel ### Mauritius ### 	Husum ### Lunden ### Malchow ### Lunden ### Husum ### Lunden ### Malchow ### Lunden ### 	actv ### actv ### brth ### deat ### actv ### actv ### brth ### deat ### 	cnl00032441 ### 		acad ### acti ### acti ### 	Magister ### Pfarrer ### Kantor in Husum, Hauptpastor in Lunden, ksl. gekrönter Poet ### 	340 01$8ger$a13.01.1594-05.01.1637$xa1594a1637 ### 340 01$8ger$a1594-1637$xa1594a1637 ### 
cnp01343926	Gérard ### Michel ### 	Le Tuel (Ille-et-Vilaine) ### Saint-Martin (Ille-et-Vilaine) ### 	deat ### brth ### 	cnl00021863 ### cnl00018955 ### 	1815 ### 1737 ### 	lang ### irsp ### 	French ### Auteur ### 	340 01$8fre$a02.07.1737-06.12.1815$xa1737a1815 ### 
cnp02090016	Schmid ### G. F. ### 	Hiltpoltstein ### 	actv ### 			irsp ### 	Jurastudent ### 	340 11$8ger$a1688$xa1688u     ### 
cnp02172041	Francisquito ### 	Valladolid ### Neapel ### 	actv ### deat ### 	cnl00007869 ### cnl00008073 ### 		acti ### 	Maler ### 	340 01$8ger$a1681-1705. Geburtsjahr auch 1587$xa1681a1705 ### 
cnp01878715	Lireux ### Auguste ### 	Bougival, Yvelines ### Rouen ### Rouen ### Bougival ### Rouen ### Bougival ### 	deat ### brth ### brth ### deat ### brth ### deat ### 	cnl00019574 ### cnl00012658 ### cnl00012658 ### cnl00019574 ### cnl00012658 ### cnl00019574 ### 	1870 ### 1810 ### 	acti ### lang ### prof ### irsp ### 	Journalist ### French ### Producteur ### Auteur ### 	340 01$8ger$a1810-1870$xa1810a1870 ### 340 01$8und$a1810-1870$xa1810a1870 ### 
cnp02303404	Mauritio del Cilento ### 	Liardo ### 	actv ### 	cnl00051003 ### 		raff ### 	OESA ### 	
cnp02297772	Memminger ### Georg Samuel ### 	Erlangen ### 	brth ### 	cnl00009005 ### 		acti ### 	Jurastudent ### 	340 11$8ger$a1752-1753$xa1752a1753 ### 
cnp01082362	Funk ### Nikolaus ### 	Westerdeich ### Altona ### 	brth ### deat ### 			acti ### 	Pfarrer ### 	340 01$8ger$a13.05.1767-17.01.1857$xa1767a1857 ### 
cnp00355093	Saur ### Michael ### 	Schleiz ### Zeitz ### Saalfeld/Saale ### Zeitz ### 	actv ### actv ### brth ### deat ### 	cnl00006287 ### cnl00015727 ### cnl00013481 ### cnl00015727 ### 		acti ### acti ### acti ### acti ### acti ### 	Hofprediger ### Lehrer ### Pfarrer ### Rektor ### Magister ### 	340 01$8ger$a1629-1690$xa1629a1690 ### 
cnp02226329	Miniat ### saint	Florence, Italie ### 	deat ### 	cnl00033525 ### 	0251 ### 			340 01$8fre$a02..-0251 ### 
cnp01501582	Topp ### Johann Friedrich Julius ### 	Braunschweig ### Helmstedt ### Wolfenbüttel ### Celle ### Braunschweig ### Helmstedt ### Wolfenbüttel ### Celle ### 	actv ### actv ### actv ### brth ### actv ### actv ### actv ### brth ### 	cnl00007683 ### cnl00009997 ### cnl00009985 ### cnl00008136 ### cnl00029873 ### cnl00009997 ### cnl00009985 ### cnl00008136 ### 		acti ### acti ### acti ### acti ### 	Personen zu Literaturgeschichte (Schriftsteller) (12.2p) ### Personen zu Medizin, Tiermedizin (27.20p) ### Arzt ### Arzt ### 	340 01$8ger$a29.07.1738-30.03.1784$xa1738a1784 ### 
cnp01405499	Güntz ### Gottfried ### 	Großenhain (Allemagne) ### 	actv ### 	cnl00009683 ### 	1600-1699 ### 	lang ### irsp ### 	Latin ### Auteur ### 	340 01$8fre$a16..-17.. ### 
cnp01231700	Bolognetti ### Giovanni ### 	Bologna ### Bologna ### 	brth ### brth ### 	cnl00027008 ### cnl00028839 ### 		acti ### acti ### 	Personen zu Recht (7.14p) ### Jurist ### 	340 01$8und$a1506-1575$xa1506a1575 ### 
cnp00349264	Ryba ### Joseph Ernst ### 	Prag ### Rožmitál pod Třemšínem ### Prag ### 	actv ### brth ### deat ### 	cnl00026998 ### 		acti ### acti ### acti ### acti ### 	Arzt ### Augenarzt ### Augenarzt; Dr. ### Prag (Wirkungsort); Arzt ### 	340 01$8ger$a21.03.1795-02.03.1856$xa1795a1856 ### 340 01$8ger$a1795-1856$xa1795a1856 ### 
cnp02167019	Geisweiler ### C. ### 	London ### 	actv ### 	cnl00032962 ### 	1796-1807 ### 	acti ### 	Buchhändler ### 	340 01$8ger$a1769-1849$xa1769a1849 ### 
cnp01294362	Mayer ### Seligmann ### 	Schwäbisch Hall ### 	deat ### 	cnl00031091 ### 		acti ### acti ### 	Personen zu Handel, Dienstleistung (10.13p) ### Kaufmann ### 	340 01$8ger$a-XX.04.1709 ### 
cnp02330202	Meyer ### Karl Gottfried ### 	Breslau ### 	actv ### 	cnl00033303 ### 	1750-1759 ### 	acti ### acti ### acti ### 	Buchhändler ### Musikschriftsteller ### Verleger ### 	340 01$8ger$a-1759$xu    a1759 ### 
cnp01385551	Stöpel ### Franz ### 	Oberheldrungen ### Paris ### Oberheldrungen ### Paris ### 	actv ### actv ### brth ### deat ### 			lang ### tran ### irsp ### acti ### acti ### acti ### acti ### acti ### acti ### 	German ### French ### Auteur ### Musiker, Musiklehrer ### Personen zu Literaturgeschichte (Schriftsteller) (12.2p) ### Personen zu Musik (14.4p) ### Musikschriftsteller ### Komponist ### Musiklehrer ### 	340 01$8ger$aOberheldrungen, 1794-Paris, 1836$xa1794a1836 ### 340 01$8ger$a14.11.1794-19.12.1836$xa1794a1836 ### 
cnp02111740	Wister ### Johann ### 	Philadelphia, Pa. ### 	actv ### 	cnl00027000 ### 		acti ### 	Buchhändler ### 	340 11$8ger$a1739-1740$xa1739a1740 ### 
cnp02338949	Omodei ### Giacinto ### 	Palermo ### Palermo ### 	brth ### deat ### 	cnl00006255 ### cnl00006255 ### 		acti ### acti ### 	Goldschmied ### Personen zu Kunsthandwerk (13.6p) ### 	340 01$8ger$a1644-1737$xa1644a1737 ### 
cnp01122172	Gemperlin ### Abraham ### 	Freiburg im Breisgau ### Konstanz ### Freiburg im Üechtland ### 	actv ### actv ### actv ### 	cnl00033726 ### cnl00016108 ### cnl00009247 ### 	1583-1584 ### 	acti ### acti ### 	Buchdrucker ### Drucker ### 	340 01$8ger$a-1616. Todesjahr ca. ### 
