id	name	515$A	515$0	515$a	515$z	350$0	350$a	340$x
cnp02179671	Veronika ### von Binasco	Binasco ### Mailand ### 	brth ### deat ### 			acti ### acti ### acti ### 	Mystikerin ### Ordensschwester ### Personen zu Kirchengeschichte, Systematischer und Praktischer Theologie, Kirche und Konfession (3.6p) ### 	340 01$8ger$a1445-1497$xa1445a1497 ### 
cnp01279147	Lindemann ### Johann Gottfried Ludewig ### 	Helmstedt ### Braunschweig ### 	actv ### brth ### 	cnl00009997 ### cnl00029873 ### 		acti ### irsp ### 	Arzt ### Medizin (in Helmstedt) ### 	340 11$8ger$a1753-1757$xa1753a1757 ### 
cnp01342860	Hardy ### Thomas Duffus ### 	Londres ### Port Royal (Jamaïque) ### 	deat ### brth ### 	cnl00026812 ### 	1878 ### 1804 ### 	lang ### irsp ### 	English ### Auteur ### 	340 01$8ger$a1804-1878$xa1804a1878 ### 340 01$8fre$a22.05.1804-15.06.1878$xa1804a1878 ### 340 01$8ger$a1804-1879$xa1804a1879 ### 
cnp02127529	Köhler ### Basilius ### 	Altenberg ### Dippoldiswalde ### Freiberg ### Roßwein ### 	actv ### actv ### actv ### brth ### 	cnl00006795 ### cnl00030628 ### cnl00009244 ### 		acti ### acti ### 	Gymnasiallehrer ### Pfarrer ### 	340 01$8ger$a1523-1582$xa1523a1582 ### 
cnp02241174	Lapasse ### Louis Charles Edouard ### de ### 	Neapel ### Toulouse ### Lussan ### 	actv ### brth ### deat ### 	cnl00008073 ### cnl00006321 ### cnl00022964 ### 		acti ### acti ### 	Diplomat ### Visconte ### 	340 01$8ger$a21.01.1792-07.10.1867$xa1792a1867 ### 340 11$8ger$aca. vor 1845$xa1845u     ### 
cnp00474734	Dedekind ### Henning ### 	Niedertopfstedt ### Wundersleben ### 	actv ### brth ### 			acti ### 	Pfarrer ### 	340 11$8ger$a1668-1694$xa1668a1694 ### 
cnp00291837	Kolbe ### Johann Carl ### 	Leipzig ### 	actv ### 	cnl00016122 ### 	1716-1724 ### 			340 11$8ger$a1716-1724$xa1716a1724 ### 
cnp01283881	Arnim ### Ilse ### von ### 	Mürow ### Niederlandin ### 	brth ### deat ### 					340 01$8ger$aXX.XX.1584-03.04.1603$xa1584a1603 ### 
cnp02338402	Mutsaerts ### Dionysius ### 	Tilburg ### Antwerpen ### 	brth ### deat ### 	cnl00014656 ### cnl00029116 ### 		acti ### acti ### 	Kirchenhistoriker ### Propst ### 	340 01$8ger$aXX.XX.15XX-19.11.1635$xa1500a1635 ### 
cnp02169132	Johansen ### Gerhard ### 	Mümmel ### Königsberg ### Hamburg ### 	actv ### actv ### brth ### 			acti ### 	Bürgermeister ### 	340 01$8ger$a1577-1643$xa1577a1643 ### 
cnp02132669	Pöppelmann ### Henrich Bernhard ### 	Lippstadt ### 	deat ### 	cnl00011242 ### 		acti ### 	Kind ### 	340 01$8ger$a1707-1714$xa1707a1714 ### 
cnp01172875	Ritter von Rittershain ### Gottfried ### 	Prag ### Lemberg ### Görlitz ### 	actv ### brth ### deat ### 	cnl00026998 ### cnl00016603 ### cnl00009506 ### 		acti ### acti ### acad ### acti ### acti ### 	Arzt ### Kinderarzt ### Dr. ### Historiker ### Hochschullehrer ### 	340 01$8ger$a-20.08.1883$xu    a1883 ### 
cnp02297188	Hahn ### David ### 	Aidlingen ### 	actv ### 	cnl00034960 ### 		acti ### 	Schäfer ### 	340 01$8ger$a07.02.1809-09.09.1878$xa1809a1878 ### 
cnp01200544	Schember ### Konrad ### 	Helsa ### Wien ### 	brth ### deat ### 			acti ### 	Unternehmer ### 	340 01$8ger$a1811-1891$xa1811a1891 ### 
cnp02165104	Altenbourg ### Gerhard ### 	Altenburg ### Schnepfenthal-Rödichen ### Meißen ### 	actv ### brth ### deat ### 	cnl00032123 ### 		acti ### acti ### acti ### acti ### acti ### 	Grafiker ### Künstler ### Maler ### Personen zu Malerei, Zeichnung, Grafik (13.4p) ### Schriftsteller ### 	340 01$8ger$a22.11.1926-30.12.1989$xa1926a1989 ### 
cnp01412188	De Chirico ### Giorgio ### 	Volos ### Rom ### 	brth ### deat ### 			acti ### acti ### acti ### acti ### acti ### 	Personen zu Malerei, Zeichnung, Grafik (13.4p) ### Bühnenbildner ### Grafiker ### Künstler ### Maler ### 	340 01$8ger$a10.07.1888-20.11.1978$xa1888a1978 ### 
cnp00427123	Möller ### Eustachius ### 	Leipzig ### Merseburg ### 	brth ### deat ### 	cnl00016122 ### cnl00011658 ### 		acti ### acti ### 	Jurist ### Dekan des Domkapitels, geb. am 8. 10. 1567 in Leipzig, gest. am 15. 8. 1634 ### 	340 01$8ger$a08.10.1567-15.08.1634$xa1567a1634 ### 
cnp01286236	Bieberstein ### Martin ### 	Lissa ### Guhrau ### 	deat ### brth ### 	cnl00011137 ### cnl00036756 ### 				340 01$8ger$a20.12.1612-13.12.1642$xa1612a1642 ### 
cnp01504400	Libri ### Guillaume ### 	Fiesole ### Fiesole, Italie ### Florence, Italie ### Florenz ### Florenz ### Fiesole ### Florenz ### Fiesole ### 	deat ### deat ### brth ### brth ### brth ### deat ### brth ### deat ### 	cnl00002467 ### cnl00002467 ### cnl00017011 ### cnl00017011 ### cnl00017011 ### cnl00017893 ### cnl00017011 ### cnl00017893 ### 		tono ### acti ### acti ### acti ### lang ### irsp ### 	Comte ### Personen zu Mathematik (28p) ### Bibliophiler ### Mathematiker ### English, French, Italian ### Auteur ### 	340 01$8fre$a1803-1869$xa1803a1869 ### 340 01$8ger$a02.01.1803-28.09.1869$xa1803a1869 ### 340 01$8ger$aFirenze, 02.01.1803-Fiesole, 28.09.1869$xa1803a1869 ### 340 11$8fre$a[Acquisitions:] 18.. ### 
cnp02334070	Bouvenne ### Edouard ### 	Toulouse ### Paris ### 	brth ### deat ### 	cnl00006321 ### cnl00032963 ### 	1811 ### 1867 ### 	irsp ### lang ### prof ### 	Auteur ### French ### Editeur ### 	340 01$8fre$a10.09.1811-15.11.1867$xa1811a1867 ### 
cnp01293570	Halm ### Philipp Adam ### 	Tübingen ### Weilimdorf ### 	brth ### deat ### 	cnl00014526 ### 		acti ### acti ### 	Pfarrer ### Personen zu Kirchengeschichte, Systematischer und Praktischer Theologie, Kirche und Konfession (3.6p) ### 	340 01$8ger$a14.12.1788-02.09.1861. Geburtsdatum auch 13.12.1788$xa1788a1861 ### 
cnp01421382	Vetter ### Peter ### 	Trochtelfingen ### Ludwigsburg ### 	brth ### deat ### 			acti ### acti ### acti ### 	Sachlich nicht klassifizierbare Personen (00p) ### Dieb ### Krimineller ### 	340 01$8ger$a1753-1800. Sterbedatum ca.$xa1753a1800 ### 
cnp02132306	Neuhauß ### Gottlieb ### 	Schleiz ### 	actv ### 	cnl00006287 ### 		acti ### 	Kaufmann ### 	340 11$8ger$a1703-1712$xa1703a1712 ### 
cnp01312145	Maur de l'Enfant-Jésus ### carme	Bordeaux ### Château-du-Loir (Sarthe) ### 	deat ### brth ### 	cnl00016013 ### cnl00014360 ### 	1690 ### 1617 ### 	lang ### irsp ### 	French ### Auteur ### 	340 01$8eng$a1617?-19.04.1690 ### 340 01$8fre$a1617?-1690$xa1617a1690 ### 340 01$8ger$a1617-1690. Geburtsjahr ca.$xa1617a1690 ### 
cnp01172175	Eßenbrücher ### Magdalena ### 	Coelln an der Spree ### 	deat ### 					340 01$8ger$a28.01.1587-14.11.1611$xa1587a1611 ### 
cnp02016176	Feyerabend ### Franz ### 	Basel ### Basel ### 	brth ### deat ### 	cnl00015955 ### cnl00015955 ### 		acti ### acti ### 	Künstler ### Maler ### 	340 01$8ger$a1756-1800$xa1756a1800 ### 
cnp02130813	Pfretzschner ### Emerentia ### 	Oelsnitz/Vogtl. ### 	actv ### 	cnl00012502 ### 				340 11$8ger$a1576$xa1576u     ### 
cnp02239428	Clerc ### François Félix ### docteur en médecine	Tilly-sur-Meuse (Meuse) ### 	brth ### 		18.. ### 	irsp ### lang ### 	Auteur ### French ### 	340 01$8fre$a18..-18..? ### 
cnp02120990	Schmidt ### Georg ### 	Görlitz ### Görlitz ### 	actv ### deat ### 	cnl00009506 ### cnl00009506 ### 		acti ### acti ### acti ### 	Bürgermeister ### Jurist ### Ratsherr ### 	340 01$8ger$a1545-1594$xa1545a1594 ### 
cnp01466919	Gerhard ### II.	Dietkirchen ### Münstermaifeld ### Mainz ### 	actv ### actv ### actv ### 	cnl00028367 ### cnl00028368 ### cnl00016648 ### 	1268-1287 ### 1264-1305 ### 	acti ### acti ### acti ### 	Personen zu Kirchengeschichte, Systematischer und Praktischer Theologie, Kirche und Konfession (3.6p) ### Erzbischof ### Erzbischof ### 	340 01$8ger$a1230-1305. Geburtsjahr ca.$xa1230a1305 ### 340 01$8ger$aum 1230 - 1305$xa1230a1305 ### 340 01$8ger$aum 1230 - 1305$xa1230a1305 ### 340 11$8ger$a1264 - 1305 ### 
cnp02193506	Oehrmann ### Ewald ### 	Klarenthal ### Barmen ### 	actv ### brth ### 			acti ### 	Pfarrer ### 	340 01$8ger$a1902-$xa1902u     ### 
cnp02106804	Heydenreich ### Wilhelm Heinrich ### 	Dahme/Mark ### Stolpen ### Dresden ### Dahme/Mark ### 	actv ### actv ### brth ### deat ### 	cnl00003845 ### cnl00014383 ### cnl00006089 ### cnl00003845 ### 		acti ### acti ### 	Pfarrer ### Superintendent ### 	340 01$8ger$a08.06.1736-18.05.1782$xa1736a1782 ### 
cnp00631530	Falckner ### Carl ### 	Nürnberg ### Lauf a. d. Pegnitz ### 	actv ### brth ### 	cnl00016163 ### 		acti ### acti ### acti ### 	Jurist, Dr. beider Rechte ### Respondent in Altdorf ### Jurist ### 	340 01$8ger$a1678-1741$xa1678a1741 ### 340 11$8ger$a1702 ### 
cnp02148938	Jütz ### Ignaz ### 	Eppishausen ### Klingenberg ### Schwyz ### Klingenberg ### 	actv ### actv ### brth ### deat ### 	cnl00000446 ### cnl00031436 ### cnl00013955 ### cnl00031436 ### 				340 01$8ger$a1688-1761$xa1688a1761 ### 
cnp01155283	Weber ### Mathias ### 	Grefrath ### Köln ### 	brth ### deat ### 			acti ### acti ### 	Personen der Geschichte (Politiker und historische Persönlichkeiten) (16.5p) ### Räuber ### 	340 01$8ger$aXX.XX.1778-19.02.1803$xa1778a1803 ### 
cnp00080149	Capellen ### Alexander Philip ### van der ### 	Warnsveld ### Utrecht ### Warnsveld ### Utrecht ### 	brth ### deat ### brth ### deat ### 			acti ### acti ### acti ### acti ### acti ### acti ### acti ### 	Personen der Geschichte (Politiker und historische Persönlichkeiten) (16.5p) ### Personen zu öffentlicher Verwaltung (7.15p) ### Personen zu politischer Theorie, Militär (8.4p) ### Oberst ### Soldat ### Würdenträger ### hofdignitaris ### 	340 01$8ger$a05.02.1745-10.12.1787$xa1745a1787 ### 340 01$8dut$a1745-1787$xa1745a1787 ### 
cnp01370509	Frick ### Joseph ### 	Breisach am Rhein ### Freiburg im Breisgau ### Karlsruhe ### Staufen im Breisgau ### Karlsruhe ### 	actv ### actv ### actv ### brth ### deat ### 	cnl00006779 ### cnl00033726 ### cnl00027004 ### 		lang ### irsp ### acti ### acti ### acti ### lang ### acad ### acti ### acti ### acti ### 	German ### Auteur ### Arzt ### Politiker ### Pädagoge ### Deutsch ### Prof. Dr. ### Abgeordneter ### Gymnasiallehrer ### E.: 1824 ### 	340 01$8eng$a16.06.1806-1875 ### 340 01$8fre$a1806-1875$xa1806a1875 ### 340 01$8pol$a1806-1875$xa1806a1875 ### 340 01$8ger$a16.06.1806-11.10.1875$xa1806a1875 ### 
cnp01950647	Papillon ### André ### 	Lyon ### 	actv ### 	cnl00011383 ### 	1596-1597 ### 	prof ### 	Drucker ### 	340 01$8ger$aca. w1596-1597$xa1596a1597 ### 
cnp02173496	Lange ### Kornelius ### 	Gryfów Śla̜ski ### Haynau ### 	brth ### deat ### 			acti ### acti ### 	Händler ### Schöffe ### 	340 01$8ger$a11.04.1574-06.11.1626$xa1574a1626 ### 
cnp01291869	Brösicke ### Dietrich ### von ### 	Ketzür ### Brandenburg an der Havel ### 	brth ### deat ### 			acti ### 	Rittmeister ### 	340 01$8ger$a-14.11.1639 ### 
cnp02273966	Heinrich ### 	Brauweiler ### 	actv ### 	cnl00027297 ### 	1476 ### 			340 01$8ger$agest. vor 1476$xu    a1476 ### 340 11$8ger$avor 1476 ### 
cnp01236974	Marmitta ### Giacomo ### 	Parme, Italie ### Rome ### 	brth ### deat ### 	cnl00017083 ### cnl00016199 ### 	1504 ### 1561 ### 	lang ### irsp ### 	Italian ### Auteur ### 	340 01$8fre$a25.10.1504-28.12.1561$xa1504a1561 ### 340 01$8ita$a1504-1561$xa1504a1561 ### 
cnp02139115	Pristaff ### Christian ### 	Röbel-Neustadt ### Röbel-Neustadt ### Rostock ### Zehdenick ### 	deat ### actv ### actv ### actv ### 					340 01$8ger$a-16.12.1717 ### 340 11$8ger$a1686$xa1686u     ### 
cnp02330016	Haamann ### Johann Georg ### 	Münzkirchen ### Vöcklamarkt ### 	brth ### deat ### 			acti ### acti ### 	Lehrer ### Organist ### 	340 01$8ger$a17.12.1757-28.05.1826$xa1757a1826 ### 
cnp01503004	Magirus ### Johannes ### 	Kassel ### Braunschweig ### Kassel ### Braunschweig ### 	brth ### deat ### brth ### deat ### 	cnl00008051 ### cnl00029873 ### cnl00008051 ### cnl00029873 ### 		acti ### acti ### acti ### acti ### acti ### acti ### acti ### acti ### 	Personen zu Musik (14.4p) ### Dt. evang. Theologe und Musiktheoretiker; Pastor an der Kirche St. Blasius zu Braunschweig, Kantor ### Kantor ### Pastor ### aus Kassel, gest. in Braunschweig ### Kantor ### Musiker ### Pfarrer ### 	340 01$8ger$a1558-1631$xa1558a1631 ### 
cnp01285604	Ritter ### Georg Christian ### 	Eisenach ### Vippachedelhausen ### 	brth ### deat ### 	cnl00008889 ### cnl00030909 ### 		acti ### 	Pfarrer ### 	340 01$8ger$a1684-1751$xa1684a1751 ### 
cnp00426497	Müller ### Gottlieb ### 	Altdorf b. Nürnberg ### Hamburg ### Dresden ### 	actv ### actv ### brth ### 			acti ### 	Arzt ### 	340 11$8ger$a1670-1688$xa1670a1688 ### 
cnp01438921	Schmieder ### Friedrich Gotthelf Benjamin ### 	Brieg ### Eisleben ### 	actv ### brth ### 	cnl00007725 ### cnl00008896 ### 		acti ### acti ### acad ### acti ### 	Philologe ### Philologe; Gymnasialdirektor ### Dr.phil. ### Schulleiter ### 	340 01$8pol$a1770-1838$xa1770a1838 ### 340 01$8ger$a06.10.1770-30.08.1838$xa1770a1838 ### 
cnp01334385	Körner ### Héritiers de Johann Christian ### 	Leipzig ### 	actv ### 	cnl00016122 ### 	1701-1724 ### 	prof ### acti ### 	Imprimeur-libraire ### Type de document concerné: Texte imprimé ### 	340 11$8fre$a1701-1724$xa1701a1724 ### 
cnp02180900	Rüdin ### Sebastian ### 	Basel ### Genf ### 	actv ### actv ### 	cnl00015955 ### cnl00006119 ### 		acti ### 	Kaufmann ### 	340 01$8ger$a01.08.1674-XX.08.1701$xa1674a1701 ### 
cnp02052714	Maiuri ### Antonio ### 	Neapel ### 	brth ### 	cnl00008073 ### 		acti ### acti ### acti ### 	Personen zu Architektur, Bautechnik (31.3p) ### Bauingenieur ### Beamter ### 	340 01$8ger$a1805-$xa1805u     ### 340 11$8ger$a1834-1852$xa1834a1852 ### 
cnp01322702	Macedo ### José Agostinho ### de ### 	Lisbonne ### Lisbonne ### 	brth ### deat ### 	cnl00017007 ### cnl00017007 ### 	1761 ### 1831 ### 	acti ### acti ### irsp ### lang ### 	Personen zu Kirchengeschichte, Systematischer und Praktischer Theologie, Kirche und Konfession (3.6p) ### Priester ### Auteur ### Portuguese ### 	340 01$8und$a1761-1831$xa1761a1831 ### 340 01$8fre$a11.09.1761-02.10.1831$xa1761a1831 ### 
cnp01894662	Sené ### M. ### 	Laucour (Somme) ### 	actv ### 		1800-1899 ### 	lang ### irsp ### 	French ### Auteur ### 	340 01$8fre$a18..-19.. ### 
cnp02064946	Frölich ### Christian Immanuel ### 	Prag ### Görlitz ### 	deat ### brth ### 	cnl00026998 ### cnl00004681 ### 		acti ### 	Kaufmann ### 	340 01$8ger$a21.05.1737-XX.XX.1792$xa1737a1792 ### 
cnp02298166	Harris ### John ### 	London ### 	actv ### 	cnl00032962 ### 				340 01$8ger$a-1736$xu    a1736 ### 
cnp01084274	Wahl ### Joachim Christian ### von ### 	Allstedt ### Ingolstadt ### 	actv ### deat ### 	cnl00001604 ### cnl00016096 ### 		tono ### acti ### acti ### 	Graf ### Generalfeldmarschall ### Soldat ### 	340 01$8ger$a-31.08.1644 ### 
cnp01975590	Wagenseil ### D. ### 	Altdorf ### 	actv ### 	cnl00029261 ### 				340 01$8ger$a1684$xa1684u     ### 
cnp02250932	Metzger ### Johann Caspar ### 	Leiden ### Schaffhausen ### 	actv ### brth ### 	cnl00031387 ### cnl00027403 ### 		acti ### 	Arzt ### 	340 11$8ger$a1742$xa1742u     ### 
cnp00352846	Reiche ### Meno ### 	Lübeck (Allemagne) ### Lübeck (Allemagne) ### Lübeck ### Lübeck ### 	brth ### deat ### actv ### brth ### 	cnl00010970 ### cnl00010970 ### cnl00010970 ### cnl00010970 ### 	1651 ### 1691 ### 	lang ### irsp ### acad ### acti ### 	Latin ### Auteur ### Magister ### Pfarrer ### 	340 01$8fre$a25.08.1651-02.07.1691$xa1651a1691 ### 340 01$8ger$a25.08.1651-02.07.1691$xa1651a1691 ### 
cnp00533840	Frey ### Johann Rudolf ### 	Basel ### 	actv ### 	cnl00015955 ### 		acti ### 	Jurist ### 	340 01$8ger$a1658-16XX. Geburtsjahr nach Taufdatum (3.1.1658)$xa1658a1699 ### 340 11$8ger$aca. 1677$xa1677u     ### 
cnp01004201	Alessio ### da Salo	Brescia (Italie) ### Salò (Italie) ### 	deat ### brth ### 	cnl00006938 ### cnl00013606 ### 	1628 ### 1558 ### 	lang ### irsp ### acti ### acti ### 	Italian ### Auteur ### Prediger ### R. P. ### 	340 01$8fre$a1558-08.01.1628$xa1558a1628 ### 340 01$8ger$a1558-1628$xa1558a1628 ### 
cnp02263767	Marquardt ### Gotthard Johann ### 	Wetzlar ### 	actv ### 	cnl00015438 ### 		acti ### acti ### acti ### irsp ### 	Jurist ### Prokurator ### Rechtsanwalt ### Rechtswissenschaft ### 	340 01$8ger$a05.05.1645-27.07.1710$xa1645a1710 ### 
cnp01903960	Le Court ### Charles-Victor ### 	Pont-l'Évêque (Calvados) ### Saint-Laurent-du-Mont (Calvados) ### 	deat ### brth ### 	cnl00012888 ### 	1870 ### 1798 ### 	lang ### irsp ### 	French ### Auteur ### 	340 01$8fre$a28.05.1798-21.02.1870$xa1798a1870 ### 
cnp00872632	Vaeck ### Alardus ### 	Helmstedt ### Jever ### Stadthagen ### 	actv ### actv ### actv ### 	cnl00009997 ### cnl00010417 ### cnl00014251 ### 		acad ### acti ### acti ### acti ### acti ### 	Dr. theol. ### Evangelischer Theologe ### Hochschullehrer ### Pfarrer ### Superintendent ### 	340 01$8ger$a-06.03.1653$xu    a1653 ### 
cnp02247816	Parisini ### Agostino ### 	Bologna ### 	actv ### 	cnl00028839 ### 		acti ### acti ### acti ### 	Drucker ### Kupferstecher ### Verleger ### 	340 11$8ger$a1625-1640$xa1625a1640 ### 
cnp02136155	Holst ### Ludwig Christoph ### 	Jena ### Sultzbach ### 	actv ### brth ### 	cnl00010282 ### cnl00022082 ### 				340 01$8ger$a1724-. Geburtsjahr ca.$xa1724u     ### 340 01$8ger$a06.10.1742. imm. Jena$xa1742u     ### 
cnp01417105	Friedrich Rudolf ### Baden-Durlach, Markgraf	Durlach ### Durlach ### 	brth ### deat ### 	cnl00008779 ### cnl00008779 ### 		acti ### acti ### acti ### 	Personen der Geschichte (Politiker und historische Persönlichkeiten) (16.5p) ### Adel ### Markgraf ### 	340 01$8ger$a13.05.1681-18.05.1682$xa1681a1682 ### 
cnp02000046	Geiss ### Johann Wernher ### 	Kassel ### 	actv ### 	cnl00008051 ### 		acad ### 	Professor ### 	340 11$8ger$a1619-$xa1619u     ### 
cnp02101880	Preime ### August ### 	Kassel ### 	brth ### 	cnl00008051 ### 		acti ### acti ### acti ### 	Gymnasiallehrer ### Philologe ### Romanist ### 	340 01$8ger$a08.02.1827-19.06.1882$xa1827a1882 ### 
cnp02138350	Poltz ### Johann ### 	Lüneburg ### 	brth ### 	cnl00010972 ### 		acti ### 	Student ### 	340 11$8ger$a1712-1716$xa1712a1716 ### 
cnp02206454	Tschudy ### Leonhard Ludwig ### von ### 	Glarus ### 	actv ### 	cnl00009463 ### 		acti ### 	Offizier ### 	340 11$8ger$a1756$xa1756u     ### 
cnp00355308	Lucius ### Gottfried Immanuel ### 	Frankleben ### Frankleben ### Striegnitz ### Leipzig ### Dresden ### 	deat ### actv ### actv ### actv ### brth ### 			acti ### 	Pfarrer ### 	340 01$8ger$a1697-1768$xa1697a1768 ### 
cnp01492415	Reichensperger ### Peter Franz ### 	Koblenz ### Berlin ### Koblenz ### Berlin ### 	brth ### deat ### brth ### deat ### 	cnl00032685 ### cnl00032895 ### cnl00032685 ### cnl00033463 ### 		acad ### acti ### acti ### acti ### acti ### 	Dr.jur. ### Personen der Geschichte (Politiker und historische Persönlichkeiten) (16.5p) ### Personen zu Recht (7.14p) ### Jurist ### Politiker ### 	340 01$8ger$a28.05.1810-31.12.1892$xa1810a1892 ### 340 01$8ger$a1810-1892$xa1810a1892 ### 340 01$8ger$aAlternativdatum: 1818 ### 
cnp00518073	Rosenthal ### Siegfried ### 	Gotha ### Zella-Mehlis-Mehlis ### Altenburg ### Zella-Mehlis-Mehlis ### 	actv ### actv ### brth ### deat ### 	cnl00016067 ### 		acti ### 	Pfarrer ### 	340 01$8ger$a18.01.1691-$xa1691u     ### 
cnp01467270	Salentin ### Köln, Erzbischof	Köln ### Paderborn ### Isenburg ### Schloss Arenfels ### Köln ### Paderborn ### Isenburg ### Schloss Arenfels ### 	actv ### actv ### brth ### deat ### actv ### actv ### brth ### deat ### 	cnl00016106 ### cnl00006611 ### 		acti ### acti ### acti ### acti ### acti ### acti ### tono ### tono ### acti ### 	Personen der Geschichte (Politiker und historische Persönlichkeiten) (16.5p) ### Personen zu Kirchengeschichte, Systematischer und Praktischer Theologie, Kirche und Konfession (3.6p) ### Erzbischof ### Erzbischof ### Arcybiskup i elektor Kolonii w latach 1567-1577, biskup Paderborn w latach 1574-1577. Hrabia Isenburg-Grenzau. ### Adel ### Graf ### Graf ### Militär ### 	340 01$8und$a1532-1610$xa1532a1610 ### 340 01$8ger$agest. 1610$xu    a1610 ### 340 01$8ger$a-1619 ### 340 11$8ger$a1567 - 1577 ### 340 11$8ger$a1577 ### 
cnp01376173	Desing ### Anselm ### 	Amberg, Bavière ### Ensdorf ### Kremsmünster ### Salzburg ### Wien ### Amberg ### Ensdorf ### 	brth ### deat ### actv ### actv ### actv ### brth ### deat ### 	cnl00015987 ### cnl00016045 ### cnl00016112 ### cnl00027122 ### cnl00016260 ### cnl00015987 ### cnl00016045 ### 	1699 ### 1772 ### 	acti ### acti ### acti ### acti ### acti ### acti ### acti ### acti ### acti ### lang ### irsp ### 	Personen zu Kirchengeschichte, Systematischer und Praktischer Theologie, Kirche und Konfession (3.6p) ### Personen zu Kultur und Künsten, Geistes- und Kulturgeschichte (6.1p) ### Abt ### Historiker ### Katholischer Theologe ### Philosoph ### Polyhistor ### Priester ### Pädagoge ### Latin ### Auteur ### 	340 01$8ger$a1699-1772$xa1699a1772 ### 340 01$8fre$a15.03.1699-17.12.1772$xa1699a1772 ### 
cnp02272377	Henricus ### 	Liesborn ### 	actv ### 	cnl00028376 ### 				
cnp00104697	Chrysogonus ### Laurentius ### 	Graz ### Split ### Trieste ### 	actv ### brth ### deat ### 	cnl00009586 ### cnl00014193 ### cnl00014774 ### 		acti ### acti ### 	Moraltheologe ### Prediger ### 	340 01$8ger$a1590-1650$xa1590a1650 ### 
cnp02209237	Ries ### Jacob ### 	Glött ### 	brth ### 	cnl00048009 ### 		acti ### 	Student ### 	340 11$8ger$a1600-1615$xa1600a1615 ### 
cnp02258065	Schleicher ### Wilhelm ### 	Seligenthal ### Seligenthal ### 	brth ### deat ### 	cnl00016219 ### cnl00016219 ### 		acti ### acti ### 	Abgeordneter ### Bürgermeister ### 	340 01$8ger$a13.06.1811-14.09.1873$xa1811a1873 ### 
cnp02295695	Glaus ### Emeline ### 	Stäfa ### Basel ### 	brth ### deat ### 	cnl00004393 ### cnl00015955 ### 				340 01$8ger$a21.12.1822-25.10.1904$xa1822a1904 ### 
cnp02245142	Neui ### Peter Johannes de ### 	Ditzumerverlaat ### Silvercreek ### Ditzumerverlaat ### George ### 	actv ### actv ### brth ### deat ### 			acti ### acti ### acti ### 	Batist ### Geistlicher ### Prediger ### 	340 01$8ger$a23.10.1828-12.02.1907$xa1828a1907 ### 
cnp02130793	Kesting ### Johann Joseph ### 	Erfurt ### Weißenborn-Lüderode ### 	actv ### brth ### 	cnl00008996 ### 		acad ### 	Respondent ### 	340 11$8ger$a1732$xa1732u     ### 
cnp02008492	Neuberger ### Martin ### 	Alzey ### Augsburg ### 	actv ### brth ### 	cnl00006830 ### cnl00027224 ### 		acad ### acti ### 	Magister ### Pfarrer ### 	340 01$8ger$a15XX-1612$xa1500a1612 ### 
cnp02185292	Schlemmer ### Joseph Carl ### 	Blieskastel ### Straßburg ### 	actv ### actv ### 	cnl00033579 ### cnl00016230 ### 		irsp ### 	Medizin ### 	340 11$8ger$a1781$xa1781u     ### 
cnp01418858	Fischer ### F. C. W. ### 	Colditz ### 	actv ### 	cnl00008324 ### 				340 01$8ger$aca. 2. Hälfte 18. Jh.$xa1700a1799 ### 
cnp01345067	Domenech ### Emmanuel ### 	Lyon ### Rochetaillée (Rhône) ### 	deat ### brth ### 	cnl00011383 ### cnl00021946 ### 	1903 ### 1825 ### 	lang ### irsp ### acti ### acti ### 	French ### Auteur ### Missionar ### Reisender ### 	340 01$8fre$a04.11.1825-09.1903$xa1825a1903 ### 340 01$8ger$a04.11.1826-$xa1826u     ### 
cnp02183139	Thesendorff ### Kaspar Adam ### 	Greifswald ### Rostock ### Greifswald ### 	actv ### actv ### brth ### 	cnl00030822 ### cnl00006277 ### cnl00030822 ### 		acti ### 	Jurist ### 	340 11$8ger$a1718-1733$xa1718a1733 ### 
cnp01958736	Aschenborn ### Alwin ### 	Sulecin ### Daun ### 	brth ### deat ### 			acti ### acti ### 	Personen der Geschichte (Politiker und historische Persönlichkeiten) (16.5p) ### Landrat ### 	340 01$8ger$a18.04.1816-09.05.1865$xa1816a1865 ### 
cnp02209181	Beyer ### Eduard ### 	Lausigk ### Chemnitz ### Crimmitschau ### Zwickau ### Auerbach/Vogtl. ### 	actv ### actv ### actv ### actv ### brth ### 			acti ### acti ### 	Oberjustizrat ### Richter ### 	340 01$8ger$a14.02.1824-01.05.1896$xa1824a1896 ### 
cnp02262159	Martin ### Johann Georg ### 	Waldeck-Freienhagen ### Waldeck-Freienhagen ### 	brth ### deat ### 	cnl00009249 ### cnl00009249 ### 		acti ### acti ### 	Abgeordneter ### Bürgermeister ### 	340 01$8ger$a10.01.1770-14.01.1834$xa1770a1834 ### 
cnp02205934	Immisch ### Friedrich ### 	Heidelberg ### Jena ### Zwickau ### Heidelberg ### 	actv ### actv ### brth ### deat ### 	cnl00016078 ### cnl00010282 ### cnl00015798 ### cnl00016078 ### 		acti ### 	Arzt ### 	340 01$8ger$a27.04.1826-22.02.1892$xa1826a1892 ### 
cnp01114007	Thodenus ### Nicolaus ### 	Wittenberg ### Lemgo ### Dithmarschen ### Magdeburg ### 	actv ### actv ### brth ### deat ### 	cnl00015564 ### cnl00011091 ### 		acti ### acti ### 	Gräzist ### Klassischer Philologe ### 	340 01$8ger$a-20.11.1606$xu    a1606 ### 
